season,overall_pick,round,round_pick,team,owner,player,pos,bid,keeper
2023,54,5,6,Team 2ITP 1ITS,ESPNFAN25233150,Pat Freiermuth,TE,1,False
2023,55,5,7,Rollin' with Ma-homes,eyedocjj,DJ Moore,WR,17,False
2023,56,5,8,You gonna get Butkus'd,funblood,Chris Olave,WR,30,False
2023,57,5,9,ILM Matt Ulrich aka Chest,espn98580191,Calvin Ridley,WR,22,False
2023,58,5,10,Chasin' the Dream,RPT0777,Jonathan Taylor,RB,21,False
2023,59,5,11,Ugh...Yeah...What...Football!,kdoggs80,Keenan Allen,WR,24,False
2023,60,5,12,3AM  No Limit,espn14211458,Najee Harris,RB,30,False
2023,61,6,1,Chasin' the Dream,RPT0777,Mark Andrews,TE,20,False
2023,62,6,2,Ugh...Yeah...What...Football!,kdoggs80,Tyler Bass,K,1,False
2023,63,6,3,"Hahaha nice name, i got nothing",Rohabhabibo,Kirk Cousins,QB,8,False
2023,64,6,4,ILM Matt Ulrich aka Chest,espn98580191,Dameon Pierce,RB,23,False
2023,65,6,5,ILM Matt Ulrich aka Chest,espn98580191,James Conner,RB,14,False
2023,66,6,6,Hand motion @ 6 inches,espn19238790,Alexander Mattison,RB,20,False
2023,67,6,7,"Hahaha nice name, i got nothing",Rohabhabibo,D'Andre Swift,RB,6,False
2023,68,6,8,Rollin' with Ma-homes,eyedocjj,Michael Wilson,WR,1,False
2023,69,6,9,Hand motion @ 6 inches,espn19238790,Dalton Kincaid,TE,8,False
2023,70,6,10,3AM  No Limit,espn14211458,Trevor Lawrence,QB,10,False
2023,71,6,11,Hand motion @ 6 inches,espn19238790,Amari Cooper,WR,18,False
2023,72,6,12,Team 2ITP 1ITS,ESPNFAN25233150,AJ Dillon,RB,4,False
2023,73,7,1,Ugh...Yeah...What...Football!,kdoggs80,Chris Godwin,WR,16,False
2023,74,7,2,Ugh...Yeah...What...Football!,kdoggs80,Cam Akers,RB,9,False
2023,75,7,3,De'Von Corleone,BobbyeddyB,Mike Williams,WR,12,False
2023,76,7,4,ILM Matt Ulrich aka Chest,espn98580191,Greg Zuerlein,K,1,False
2023,77,7,5,Hand motion @ 6 inches,espn19238790,Jakobi Meyers,WR,1,False
2023,78,7,6,Team 2ITP 1ITS,ESPNFAN25233150,J.K. Dobbins,RB,7,False
2023,79,7,7,You gonna get Butkus'd,funblood,Rachaad White,RB,15,False
2023,80,7,8,"Hahaha nice name, i got nothing",Rohabhabibo,Jalin Hyatt,WR,2,False
2023,81,7,9,Etienne all the Capicola,CBPainTrain,Zay Flowers,WR,15,False
2023,82,7,10,Etienne all the Capicola,CBPainTrain,Khalil Herbert,RB,10,False
2023,83,7,11,De'Von Corleone,BobbyeddyB,Christian Watson,WR,11,False
2023,84,7,12,Hand motion @ 6 inches,espn19238790,Christian Kirk,WR,9,False
2023,85,8,1,Team 2ITP 1ITS,ESPNFAN25233150,Darnell Mooney,WR,5,False
2023,86,8,2,Etienne all the Capicola,CBPainTrain,Bills D/ST,DST,2,False
2023,87,8,3,"Hahaha nice name, i got nothing",Rohabhabibo,Tyler Lockett,WR,11,False
2023,88,8,4,Nacua please!!,silverandblack.27,Darren Waller,TE,12,False
